query,metric,value,who
user authentication,recall@3,0.014285714285714285,borda_fuse
user authentication,f1@3,0.027972027972027972,borda_fuse
user authentication,map@5,0.025357142857142856,borda_fuse
user authentication,mrr@5,1.0,borda_fuse
user authentication,ndcg@5,0.830419897363192,borda_fuse
user authentication,precision@5,0.8,borda_fuse
user authentication,recall@5,0.02857142857142857,borda_fuse
user authentication,f1@5,0.05517241379310345,borda_fuse
user authentication,map@7,0.03130952380952381,borda_fuse
user authentication,mrr@7,1.0,borda_fuse
user authentication,ndcg@7,0.7709363892380909,borda_fuse
user authentication,precision@7,0.7142857142857143,borda_fuse
user authentication,recall@7,0.03571428571428571,borda_fuse
user authentication,f1@7,0.06802721088435375,borda_fuse
